frame,laplacian,tenengrad,fft,is_blurry
448,535.39,11.43,3.31,True
449,531.65,11.41,3.31,True
450,558.73,11.77,3.42,True
451,544.60,11.68,3.41,True
452,607.61,13.30,4.11,True
453,536.72,11.01,3.17,True
454,541.76,11.02,3.19,True
455,516.87,10.90,3.15,True
456,540.71,10.93,3.13,True
457,541.87,10.99,3.15,True
458,535.21,10.81,3.10,True
459,539.46,10.87,3.11,True
460,588.98,12.16,3.58,True
461,549.08,11.03,3.14,True
462,558.87,11.03,3.14,True
463,587.27,13.02,3.85,True
464,522.05,10.72,3.04,True
465,550.25,11.71,3.41,True
466,545.10,10.95,3.14,True
467,525.52,10.63,3.02,True
468,525.27,10.68,3.09,True
469,528.18,10.66,3.06,True
470,525.91,10.37,2.95,True
471,521.63,10.37,2.95,True
472,570.30,11.56,3.40,True
473,525.76,10.37,2.93,True
474,541.31,10.65,3.02,True
475,568.97,12.88,3.71,True
476,552.84,11.45,3.42,True
477,575.68,11.88,3.43,True
478,536.14,10.45,2.91,True
479,537.69,10.45,2.90,True
480,589.32,11.87,3.45,True
481,540.27,11.05,3.18,True
482,545.03,10.45,2.90,True
483,535.10,10.33,2.85,True
484,542.87,10.41,2.87,True
485,582.48,13.48,4.03,True
486,552.07,10.64,2.95,True
487,530.81,10.38,2.84,True
488,528.69,10.45,2.84,True
489,516.35,10.36,2.83,True
490,566.49,11.08,3.11,True
491,518.05,10.29,2.80,True
492,524.34,10.41,2.84,True
493,517.84,10.31,2.81,True
494,527.50,10.39,2.82,True
495,525.86,10.50,2.82,True
496,574.25,11.97,3.32,True
497,541.27,12.68,3.33,True
498,573.02,10.71,2.87,True
499,543.91,10.61,2.84,True
500,556.44,10.69,2.85,True
501,575.30,11.38,3.05,True
502,587.62,12.75,3.31,True
503,551.73,10.53,2.84,True
504,548.80,10.75,2.87,True
505,548.08,10.73,2.87,True
506,582.20,12.23,3.20,True
507,557.43,10.69,2.88,True
508,556.46,10.63,2.88,True
509,551.88,10.59,2.86,True
510,562.13,10.64,2.89,True
511,555.77,10.66,2.89,True
512,542.46,10.75,2.90,True
513,529.48,10.74,2.90,True
514,541.23,10.89,2.94,True
